,id,alias,name,image_url,is_closed,url,review_count,categories,rating,transactions,price,location,phone,display_phone,distance,latitude,longitude,city,state,postal
0,FJsh0TOIQJWj3aQP4Yg0_A,saigon-kitchen-ithaca,Saigon Kitchen,https://s3-media4.fl.yelpcdn.com/bphoto/KscDAMimcufx2hJGqHGBqQ/o.jpg,False,https://www.yelp.com/biz/saigon-kitchen-ithaca?adjust_creative=By4LztDH6ULQMoOWW73Uag&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=By4LztDH6ULQMoOWW73Uag,629,"[{'alias': 'vietnamese', 'title': 'Vietnamese'}]",4.0,['delivery'],$$,"{'address1': '526 W State St', 'address2': '', 'address3': '', 'city': 'Ithaca', 'zip_code': '14850', 'country': 'US', 'state': 'NY', 'display_address': ['526 W State St', 'Ithaca, NY 14850']}",+16072578881,(607) 257-8881,3555.406098151774,42.439463,-76.507472,Ithaca,NY,14850
1,zaciqFX010mJjyb_J6Tmsw,masita-ithaca-2,Masita,https://s3-media2.fl.yelpcdn.com/bphoto/3l2z-5LgCk6bv6Q83aO9sg/o.jpg,False,https://www.yelp.com/biz/masita-ithaca-2?adjust_creative=By4LztDH6ULQMoOWW73Uag&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=By4LztDH6ULQMoOWW73Uag,33,"[{'alias': 'korean', 'title': 'Korean'}]",4.5,['delivery'],,"{'address1': '416 Eddy St', 'address2': None, 'address3': '', 'city': 'Ithaca', 'zip_code': '14850', 'country': 'US', 'state': 'NY', 'display_address': ['416 Eddy St', 'Ithaca, NY 14850']}",+16072776767,(607) 277-6767,4423.934583379928,42.44211,-76.48767,Ithaca,NY,14850
2,QSGSWUCRzhoQa-v5dGoD6g,asia-cuisine-ithaca,Asia Cuisine,https://s3-media1.fl.yelpcdn.com/bphoto/se_zbjdWGM-UaDh4t5swMg/o.jpg,False,https://www.yelp.com/biz/asia-cuisine-ithaca?adjust_creative=By4LztDH6ULQMoOWW73Uag&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=By4LztDH6ULQMoOWW73Uag,193,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'korean', 'title': 'Korean'}]",4.0,['delivery'],$$,"{'address1': '126 N Aurora St', 'address2': '', 'address3': '', 'city': 'Ithaca', 'zip_code': '14850', 'country': 'US', 'state': 'NY', 'display_address': ['126 N Aurora St', 'Ithaca, NY 14850']}",+16072568818,(607) 256-8818,3944.9532288171526,42.44038,-76.49583,Ithaca,NY,14850
3,X5uurEKl4Wk_16oZp247qg,hakacha-restaurant-ithaca,Hakacha Restaurant,https://s3-media2.fl.yelpcdn.com/bphoto/RxEjM5649mbu1zK-dGvC0g/o.jpg,False,https://www.yelp.com/biz/hakacha-restaurant-ithaca?adjust_creative=By4LztDH6ULQMoOWW73Uag&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=By4LztDH6ULQMoOWW73Uag,38,"[{'alias': 'ramen', 'title': 'Ramen'}, {'alias': 'pastashops', 'title': 'Pasta Shops'}]",4.5,['pickup'],,"{'address1': '311 3rd St', 'address2': '', 'address3': None, 'city': 'Ithaca', 'zip_code': '14850', 'country': 'US', 'state': 'NY', 'display_address': ['311 3rd St', 'Ithaca, NY 14850']}",+16073194006,(607) 319-4006,4449.434606572411,42.44726,-76.50494,Ithaca,NY,14850
4,wJvd9PLqiuNtP-DIkxieJw,spicy-asian-ithaca,Spicy Asian,https://s3-media3.fl.yelpcdn.com/bphoto/hxH0Ob5mCncgg3brFrK6NQ/o.jpg,False,https://www.yelp.com/biz/spicy-asian-ithaca?adjust_creative=By4LztDH6ULQMoOWW73Uag&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=By4LztDH6ULQMoOWW73Uag,116,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'thai', 'title': 'Thai'}]",4.0,['pickup'],$$,"{'address1': '335 Elmira Rd', 'address2': '', 'address3': '', 'city': 'Ithaca', 'zip_code': '14850', 'country': 'US', 'state': 'NY', 'display_address': ['335 Elmira Rd', 'Ithaca, NY 14850']}",+16072777017,(607) 277-7017,1946.0181009892974,42.42544,-76.51254,Ithaca,NY,14850
5,DnQwknnYIw7yCTrw_BeLaw,tian-jin-foods-天津小吃-ithaca,Tian Jin Foods 天津小吃,https://s3-media1.fl.yelpcdn.com/bphoto/_3YF--SWkpvbj5_phn4yjg/o.jpg,False,https://www.yelp.com/biz/tian-jin-foods-%E5%A4%A9%E6%B4%A5%E5%B0%8F%E5%90%83-ithaca?adjust_creative=By4LztDH6ULQMoOWW73Uag&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=By4LztDH6ULQMoOWW73Uag,40,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'foodstands', 'title': 'Food Stands'}]",4.5,[],,"{'address1': '171 E State St', 'address2': 'Ste 136', 'address3': '', 'city': 'Ithaca', 'zip_code': '14850', 'country': 'US', 'state': 'NY', 'display_address': ['171 E State St', 'Ste 136', 'Ithaca, NY 14850']}",+19177312258,(917) 731-2258,3802.6287904231745,42.4393780039299,-76.4970342814922,Ithaca,NY,14850
6,o7vyvdS7CytNq8kGZ5sU7g,maru-ramen-ithaca,Maru Ramen,https://s3-media1.fl.yelpcdn.com/bphoto/Zaixyzlm1oghKdaa1y532w/o.jpg,False,https://www.yelp.com/biz/maru-ramen-ithaca?adjust_creative=By4LztDH6ULQMoOWW73Uag&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=By4LztDH6ULQMoOWW73Uag,175,"[{'alias': 'ramen', 'title': 'Ramen'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'soulfood', 'title': 'Soul Food'}]",4.0,['delivery'],$$,"{'address1': '512 W State St', 'address2': '', 'address3': None, 'city': 'Ithaca', 'zip_code': '14850', 'country': 'US', 'state': 'NY', 'display_address': ['512 W State St', 'Ithaca, NY 14850']}",+16073390329,(607) 339-0329,3569.8023341092885,42.43956,-76.5068299,Ithaca,NY,14850
7,YeV7DS-1YYqC4cWi2w-GQQ,kimchi-ithaca,Kimchi,https://s3-media2.fl.yelpcdn.com/bphoto/EyH71tt-7jS14M14_GTXEg/o.jpg,False,https://www.yelp.com/biz/kimchi-ithaca?adjust_creative=By4LztDH6ULQMoOWW73Uag&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=By4LztDH6ULQMoOWW73Uag,26,"[{'alias': 'korean', 'title': 'Korean'}]",4.0,['delivery'],,"{'address1': '124 E State St', 'address2': '', 'address3': None, 'city': 'Ithaca', 'zip_code': '14850', 'country': 'US', 'state': 'NY', 'display_address': ['124 E State St', 'Ithaca, NY 14850']}",+16073390790,(607) 339-0790,3813.4686385571995,42.439802,-76.498079,Ithaca,NY,14850
8,XuMZd7Css7GFPySbs-3DWw,thai-basil-ithaca-2,Thai Basil,https://s3-media4.fl.yelpcdn.com/bphoto/yGk2uEFBfI0GbV04Vq-GoQ/o.jpg,False,https://www.yelp.com/biz/thai-basil-ithaca-2?adjust_creative=By4LztDH6ULQMoOWW73Uag&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=By4LztDH6ULQMoOWW73Uag,189,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'noodles', 'title': 'Noodles'}, {'alias': 'salad', 'title': 'Salad'}]",3.5,"['delivery', 'pickup']",$$,"{'address1': '118 W State St', 'address2': '', 'address3': '', 'city': 'Ithaca', 'zip_code': '14850', 'country': 'US', 'state': 'NY', 'display_address': ['118 W State St', 'Ithaca, NY 14850']}",+16073194722,(607) 319-4722,3734.490499144597,42.4395296,-76.4997477,Ithaca,NY,14850
9,XJfCTnV3W9SUkTh_3ddxkQ,koko-korean-restaurant-ithaca,Koko Korean Restaurant,https://s3-media1.fl.yelpcdn.com/bphoto/mTx1AhIzlnAUkMBBMnGGyQ/o.jpg,False,https://www.yelp.com/biz/koko-korean-restaurant-ithaca?adjust_creative=By4LztDH6ULQMoOWW73Uag&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=By4LztDH6ULQMoOWW73Uag,98,"[{'alias': 'korean', 'title': 'Korean'}]",3.5,"['delivery', 'pickup']",$$,"{'address1': '321 College Ave', 'address2': '', 'address3': '', 'city': 'Ithaca', 'zip_code': '14850', 'country': 'US', 'state': 'NY', 'display_address': ['321 College Ave', 'Ithaca, NY 14850']}",+16072778899,(607) 277-8899,4467.068502695986,42.4412981780525,-76.4850796813513,Ithaca,NY,14850
10,KpVhTeqORq0EDe5r-X0FAA,mia-restaurant-ithaca,Mia Restaurant,https://s3-media1.fl.yelpcdn.com/bphoto/xV5eMZwWDmdUA-PvJiNuCw/o.jpg,False,https://www.yelp.com/biz/mia-restaurant-ithaca?adjust_creative=By4LztDH6ULQMoOWW73Uag&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=By4LztDH6ULQMoOWW73Uag,143,"[{'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'indpak', 'title': 'Indian'}, {'alias': 'tapas', 'title': 'Tapas Bars'}]",4.0,"['delivery', 'pickup']",$$,"{'address1': '130 E State St', 'address2': '', 'address3': None, 'city': 'Ithaca', 'zip_code': '14850', 'country': 'US', 'state': 'NY', 'display_address': ['130 E State St', 'Ithaca, NY 14850']}",+16072772000,(607) 277-2000,3819.9259520754536,42.439836,-76.497862,Ithaca,NY,14850
11,ptAp0HWJar6Bk18HX--UuQ,hai-hong-restaurant-ithaca,Hai Hong Restaurant,https://s3-media1.fl.yelpcdn.com/bphoto/FmZRNFYeqxhZGGzxIjyTuw/o.jpg,False,https://www.yelp.com/biz/hai-hong-restaurant-ithaca?adjust_creative=By4LztDH6ULQMoOWW73Uag&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=By4LztDH6ULQMoOWW73Uag,63,"[{'alias': 'dimsum', 'title': 'Dim Sum'}, {'alias': 'cantonese', 'title': 'Cantonese'}]",3.5,"['pickup', 'delivery']",$$,"{'address1': '208B Dryden Rd', 'address2': '', 'address3': '', 'city': 'Ithaca', 'zip_code': '14850', 'country': 'US', 'state': 'NY', 'display_address': ['208B Dryden Rd', 'Ithaca, NY 14850']}",+16072721668,(607) 272-1668,4540.9550495157655,42.44192,-76.48462,Ithaca,NY,14850
